
========== Supervised Training Begin ==========

** Initial learning rate: 0.001000000 **

Time 0.35929, Epoch 5, Batch 11, Loss = 1.82576, Training Accuracy = 0.3200
Time 0.34367, Epoch 5, Batch 12, Loss = 1.77624, Training Accuracy = 0.2200
Time 0.34367, Epoch 5, Batch 13, Loss = 2.14715, Training Accuracy = 0.1800
Time 0.34367, Epoch 5, Batch 14, Loss = 1.99098, Training Accuracy = 0.2100
Time 0.35929, Epoch 5, Batch 15, Loss = 1.97724, Training Accuracy = 0.2400
Time 0.34367, Epoch 5, Batch 16, Loss = 1.91414, Training Accuracy = 0.2000
Time 0.35929, Epoch 5, Batch 17, Loss = 2.11877, Training Accuracy = 0.3000
Time 0.34367, Epoch 5, Batch 18, Loss = 1.86218, Training Accuracy = 0.2900
Time 0.35929, Epoch 5, Batch 19, Loss = 1.88677, Training Accuracy = 0.2900
Time 0.34367, Epoch 5, Batch 20, Loss = 1.97752, Training Accuracy = 0.1800
Time 0.34367, Epoch 5, Batch 21, Loss = 1.98070, Training Accuracy = 0.2300
Time 0.35929, Epoch 5, Batch 22, Loss = 1.96195, Training Accuracy = 0.1500
Time 0.34367, Epoch 5, Batch 23, Loss = 1.92076, Training Accuracy = 0.2100
Time 0.34367, Epoch 5, Batch 24, Loss = 1.95463, Training Accuracy = 0.2200
Time 0.34367, Epoch 5, Batch 25, Loss = 1.96855, Training Accuracy = 0.3000
Time 0.34367, Epoch 5, Batch 26, Loss = 1.92950, Training Accuracy = 0.1600
Time 0.34367, Epoch 5, Batch 27, Loss = 1.94863, Training Accuracy = 0.1700
Time 0.34367, Epoch 5, Batch 28, Loss = 2.01257, Training Accuracy = 0.2100
Time 0.34367, Epoch 5, Batch 29, Loss = 2.00526, Training Accuracy = 0.2600
Time 0.34367, Epoch 5, Batch 30, Loss = 1.88046, Training Accuracy = 0.2900
Time 0.34367, Epoch 5, Batch 31, Loss = 1.86677, Training Accuracy = 0.2400
Time 0.34367, Epoch 5, Batch 32, Loss = 1.91243, Training Accuracy = 0.1900
Time 0.35929, Epoch 5, Batch 33, Loss = 1.93871, Training Accuracy = 0.2500
Time 0.34367, Epoch 5, Batch 34, Loss = 1.80852, Training Accuracy = 0.2800
Time 0.35929, Epoch 5, Batch 35, Loss = 1.84537, Training Accuracy = 0.3300
